Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model
66.0,9.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034571872406564366,7.985970932913224,0.02398238088095228,0.1875,1.0048241910756959,-0.006963215175441752,56.83503755,5683.503755,-582.5913240836868,0.023578724741419806,0.05689800000000008,8.59,1.5576,4.3299,21.0,0.0,0.0,21.0,0.0,79.4435,0.036686369138348766,1.4013149999999994,-0.0007194727669072969
65.0,9.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035017902282390282,7.927629916261409,0.023982077234641127,0.19240000000000002,1.0048240547003426,-0.007041651618375624,56.86352155,5686.352155,-574.2411117877635,0.023796505235210024,0.05791500000000009,8.61,1.586,4.3315,21.0,0.0,0.0,21.0,0.0,79.3788,0.03702987581298626,1.4238379999999997,-0.0007315499354034853
64.0,9.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035440205764226064,7.87411476144484,0.0239817859820571,0.1971,1.0048239183347585,-0.007115610452764714,56.89200555,5689.200554999999,-566.52580293259,0.023999782589437624,0.05887800000000009,8.629999999999999,1.6128,4.3331,21.0,0.0,0.0,21.0,0.0,79.3141,0.03735349670424061,1.4450669999999999,-0.0007428824725083452
63.0,9.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003583963014151332,7.825145885482715,0.023981507123199974,0.20160000000000003,1.0048237819789423,-0.0071851902081522335,56.92048955,5692.048955,-559.3855339080291,0.02418896218407332,0.0597870000000001,8.65,1.6380000000000003,4.3347,21.0,0.0,0.0,21.0,0.0,79.24940000000001,0.03765766181796905,1.465002,-0.0007534733482799736
62.0,9.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003621694087170087,7.780477502735843,0.023981240658069804,0.20589999999999997,1.0048236456328934,-0.007250480308315972,56.94897355,5694.897354999999,-552.7684526720852,0.024364411734252647,0.06064200000000009,8.67,1.6616,4.3363,21.0,0.0,0.0,21.0,0.0,79.18469999999999,0.03794275659232336,1.4836429999999994,-0.00076332547024246
61.0,9.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036572830765809103,7.7398936780903975,0.023980986586666617,0.21,1.0048235092966096,-0.007311561917616129,56.97745755,5697.745755,-546.6294292721133,0.02452646483220206,0.061443000000000095,8.69,1.6836,4.3379,21.0,0.0,0.0,21.0,0.0,79.11999999999999,0.038209125614893216,1.5009899999999996,-0.0007724416836253425
60.0,9.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003690792779458023,7.703205012709984,0.02398074490899046,0.2139,1.004823372970091,-0.007368508668270919,57.00594155,5700.594155,-540.9290111136431,0.024675423996754594,0.06219000000000009,8.709999999999999,1.704,4.3395,21.0,0.0,0.0,21.0,0.0,79.0553,0.0384570758298578,1.5170429999999995,-0.0007808247715885668
59.0,9.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003722280175451822,7.670245856824202,0.023980515625041242,0.2176,1.004823236653336,-0.007421387287293807,57.034425549999995,5703.442555,-535.6325702987514,0.024811563305383456,0.06288300000000009,8.73,1.7227999999999999,4.3411,21.0,0.0,0.0,21.0,0.0,78.9906,0.03868687930674065,1.5318019999999997,-0.0007884774554382228
58.0,9.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037517969984867975,7.640871964935617,0.02398029873481901,0.2211,1.0048231003463435,-0.007470258138260629,57.06290955,5706.2909549999995,-530.7096029753047,0.02493513066989968,0.06352200000000009,8.75,1.7399999999999998,4.342700000000001,21.0,0.0,0.0,21.0,0.0,78.9259,0.03889877562967978,1.5452669999999995,-0.0007954023948319247
57.0,9.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003779390228922012,7.614958525382718,0.02398009423832376,0.2244,1.0048229640491126,-0.007515175690260835,57.09139355,5709.139355,-526.1331499478844,0.025046349805953667,0.0641070000000001,8.77,1.7556,4.3443000000000005,21.0,0.0,0.0,21.0,0.0,78.8612,0.039092973955824305,1.5574379999999997,-0.0008016021879716506
56.0,9.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003805102518615691,7.592398509407389,0.02397990213555561,0.2275,1.0048228277616416,-0.00755618892414701,57.11987755,5711.987755,-521.8793147419829,0.0251454219376123,0.0646380000000001,8.79,1.7696,4.3459,21.0,0.0,0.0,21.0,0.0,78.79650000000001,0.039269654783046865,1.5683149999999997,-0.0008070793717865864
55.0,9.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003828972559029982,7.573101295508808,0.02397972242651429,0.2304,1.0048226914839302,-0.007593341684398198,57.148361550000004,5714.836154999999,-517.9268605355933,0.02523252727109366,0.0651150000000001,8.809999999999999,1.782,4.3475,21.0,0.0,0.0,21.0,0.0,78.73179999999999,0.03942897146021031,1.5778979999999998,-0.0008118364221038135
54.0,9.0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038510354006774028,7.556991533507127,0.02397955511119995,0.2331,1.0048225552159764,-0.007626672983456378,57.17684555,5717.684555,-514.2568713385253,0.025307826265850836,0.06553800000000011,8.83,1.7928000000000002,4.3491,21.0,0.0,0.0,21.0,0.0,78.6671,0.039571051467447986,1.5861869999999998,-0.0008158757538107159
53.0,9.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003871322730742212,7.5440082198402,0.02397940018961264,0.23560000000000003,1.0048224189577797,-0.007656217264206287,57.20532955,5720.532955,-510.8524658365808,0.025371460726346044,0.06590700000000012,8.85,1.8020000000000003,4.3507,21.0,0.0,0.0,21.0,0.0,78.60239999999999,0.03969599748905516,1.5931819999999997,-0.0008191997210020112
52.0,9.0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038898631145249845,7.534103961526396,0.023979257661752355,0.2379,1.0048222827093394,-0.007682004625289146,57.23381355,5723.3813549999995,-507.69855466167377,0.02542355473381461,0.0662220000000001,8.870000000000001,1.8096,4.3523,21.0,0.0,0.0,21.0,0.0,78.5377,0.03980388829746219,1.5988829999999998,-0.0008218106171211069
51.0,9.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003906682205395821,7.5272444112223225,0.023979127527618903,0.24000000000000002,1.0048221464706537,-0.007704061013126364,57.26229755,5726.229754999999,-504.7816336715583,0.025464215433925956,0.06648300000000011,8.89,1.8156,4.3539,21.0,0.0,0.0,21.0,0.0,78.473,0.03989477946321328,1.6032899999999999,-0.0008237106750850279
50.0,9.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003921802927153529,7.523407860107404,0.02397900978721266,0.24189999999999998,1.0048220102417216,-0.007722408383844946,57.29078155,5729.078155,-502.0896072499689,0.025493533693363334,0.0666900000000001,8.91,1.8199999999999998,4.3555,21.0,0.0,0.0,21.0,0.0,78.4083,0.03996870390277523,1.6064029999999996,-0.0008249020674030577
49.0,9.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0039352456320372944,7.522584979118583,0.023978904440533303,0.24359999999999998,1.004821874022542,-0.007737064837715107,57.31926555,5731.926555,-499.61163676313026,0.025511584635865583,0.06684300000000011,8.93,1.8228,4.3571,21.0,0.0,0.0,21.0,0.0,78.3436,0.04002567227325526,1.6082219999999996,-0.0008253869062814397
